SiteName,SiteAb,Rodne_PID,PCID,Insol,SolarIns,elevation_m,PVT,TPI,AET_1900_09,AET_2000_09,AET_2000_09SD,CWD_1900_09,CWD_2000_09,CWD_2000_09SD,POINT_X,POINT_Y,WatBal_AET_Current_V1_2019,WB_AET_Current_V2_2022,WatBal_AET_Futr_V1_2019,WB_AET_Future_V2_2022,WatBal_PET_Current_V1_2019,WB_PET_Current_V2_2022,WatBal_PET_Futr_V1_2019,WB_PET_Future_V2_2022,WatBal_Deficit_Current_V1_OR_2019,WB_Deficit_Current_V2_2022_2023,WatBal_Deficit_Futr_V1_OR_2019,WB_Deficit_Future_V2_2022
Elder Creek,ED,E02,HC02,Warm,1311220.875,856,Jeffrey pine,Mid Slope,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5671281,42.05346099,498.7615356,613.1612549,488.973938,607.1300049,822.3004761,843.9820557,873.1708374,909.520752,323.5389709,230.8207703,384.1968689,302.3908081
Elder Creek,ED,E03,HC03,Warm,1382142.5,895,Jeffrey pine,Mid Slope,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5643754,42.05365253,495.3445129,606.9674072,484.7048035,603.7548828,814.5368042,823.3734741,864.6870728,889.7092285,319.1922913,216.4060059,379.9822693,285.9543457
Elder Creek,ED,E04,HC04,Warm,1352875,995,Jeffrey pine,Ridge Top,609.9000244,577.2999878,84.44412231,632.0299683,730,93.67359161,-123.5649881,42.05665276,488.1368408,628.637146,478.9416809,619.7287598,793.4208984,859.4811401,846.0441895,924.2359009,305.2840576,230.8439789,367.102478,304.5071716
Elder Creek,ED,E05,HC05,Warm,1370669.875,1047,Jeffrey pine,Mid Slope,566.7000122,531.0999756,94.45681763,581.8900146,673,88.67784119,-123.5606562,42.05830841,505.2112122,599.2823486,493.3211365,598.4690552,827.5099487,802.838562,878.5049438,871.1382446,322.2987366,203.5562286,385.1837769,272.6691589
Elder Creek,ED,E06,HC06,Warm,1394763.125,996,Jeffrey pine,Mid Slope,592.7000122,555.5999756,93.33616638,626.6699829,718,90.3380127,-123.5659984,42.05886832,494.8564148,623.5368042,482.6456299,616.3273926,820.06604,850.7872925,870.7666626,916.0323486,325.2096252,227.2504883,388.1210327,299.704895
Elder Creek,ED,E07,HC07,Warm,1404855.375,980,Jeffrey pine,Ridge Top,592.7000122,555.5999756,93.33616638,626.6699829,718,90.3380127,-123.5689867,42.05911542,499.3210144,620.2565918,486.751709,611.4708862,828.9690552,851.1199341,880.5883789,915.7727051,329.6480408,230.8633728,393.8366394,304.3018494
Elliott Ridge,ET,L08,SquawPRH02,Warm,1531068.5,1480,Ponderosa pine - Dry,Ridge Top,525.7000122,465.1000061,75.73829651,567.2099609,696,73.63526154,-123.0264792,42.01403941,426.973938,572.4198608,470.0321045,570.453125,808.8383789,811.9590454,921.7579346,884.3427734,381.8644409,239.5391235,451.7258606,313.8896484
Elliott Ridge,ET,L09,SquawPMH01,Warm,1510807.75,1477,Ponderosa pine - Dry,Ridge Top,522.2000122,465.7999878,75.23004913,577.4500122,712,74.81064606,-123.0285089,42.01423926,433.9899597,576.1690674,469.7890015,572.7270508,815.4882202,819.0371704,920.7902222,890.3250732,381.49823,242.8680725,451.0012207,317.5980225
Elliott Ridge,ET,L10,SquawPRH01,Warm,1525619.875,1458,Ponderosa pine - Dry,Ridge Top,522.2000122,465.7999878,75.23004913,577.4500122,712,74.81064606,-123.0311225,42.01390889,458.4941406,570.0664063,470.9119873,566.1711426,836.012146,809.0852051,919.967041,879.2597046,377.5180054,239.0187836,449.0550842,313.088562
Elliott Ridge,ET,L01,SL01,Warm,1437220.75,1313,Ponderosa pine - Dry,Mid Slope,525.7000122,465.1000061,75.73829651,567.2099609,696,73.63526154,-123.0207634,42.01069291,419.2700806,583.5952148,460.3284607,581.1142578,786.6503906,828.6831665,895.7443237,899.1495972,367.3803406,245.0879059,435.415863,318.0352783
